;src;dst;dyad_id;x1_src;x2_src;a_src;x1_dst;x2_dst;a_dst;dx1;dx2;de;dy
1;1;2;01-Feb;2.091800638;-0.369033558;-0.724672836;-2.247369114;-0.718129042;-0.470703762;4.339169752;0.349095484;-0.662045401;2.307200011
2;1;3;01-Mar;2.091800638;-0.369033558;-0.724672836;0.775125013;-1.91514517;-0.522438467;1.316675624;1.546111612;-0.665748213;-1.369239697
3;2;3;02-Mar;-2.247369114;-0.718129042;-0.470703762;0.775125013;-1.91514517;-0.522438467;3.022494127;1.197016128;1.135031305;2.565875139
4;1;4;01-Apr;2.091800638;-0.369033558;-0.724672836;0.214023706;-1.057478631;2.379981408;1.877776932;0.688445073;-0.241535314;2.947327653
5;2;4;02-Apr;-2.247369114;-0.718129042;-0.470703762;0.214023706;-1.057478631;2.379981408;2.46139282;0.339349589;0.760012593;4.961008264
6;3;4;03-Apr;0.775125013;-1.91514517;-0.522438467;0.214023706;-1.057478631;2.379981408;0.561101307;0.857666539;-0.558453866;1.431357113
7;1;5;01-Mei;2.091800638;-0.369033558;-0.724672836;-1.739373216;1.087288906;-0.958122243;3.831173853;1.456322465;-1.182663413;0.237554129
8;2;5;02-Mei;-2.247369114;-0.718129042;-0.470703762;-1.739373216;1.087288906;-0.958122243;0.507995899;1.805417949;-0.085819838;-1.909358919
9;3;5;03-Mei;0.775125013;-1.91514517;-0.522438467;-1.739373216;1.087288906;-0.958122243;2.514498229;3.002434076;1.00936611;0.542086591
10;4;5;04-Mei;0.214023706;-1.057478631;2.379981408;-1.739373216;1.087288906;-0.958122243;1.953396922;2.144767537;1.329810282;3.632682599
11;1;6;01-Jun;2.091800638;-0.369033558;-0.724672836;0.070390093;1.090170262;-0.397273019;2.021410544;1.459203821;0.571824226;0.741687004
12;2;6;02-Jun;-2.247369114;-0.718129042;-0.470703762;0.070390093;1.090170262;-0.397273019;2.317759208;1.808299305;0.086130615;0.631763389
13;3;6;03-Jun;0.775125013;-1.91514517;-0.522438467;0.070390093;1.090170262;-0.397273019;0.70473492;3.005315433;0.379188073;-1.33844621
14;4;6;04-Jun;0.214023706;-1.057478631;2.379981408;0.070390093;1.090170262;-0.397273019;0.143633612;2.147648893;0.630254616;1.682772171
15;5;6;05-Jun;-1.739373216;1.087288906;-0.958122243;0.070390093;1.090170262;-0.397273019;1.809763309;0.002881356;-0.597171063;-0.144243694
16;1;7;01-Jul;2.091800638;-0.369033558;-0.724672836;-0.540113803;-0.819209952;-0.075792471;2.631914441;0.450176394;1.224076138;2.830437075
